smiles,PUBCHEM_ACTIVITY_OUTCOME,dataset
COC1=CC=C(C=C1)CNC(=O)CCCN2C=CC=C2,0,10
COCCNC(=S)N(CCC#N)C1=CC=CC=C1,0,2
CC(C)N(C(C)C)C(=O)CSC1=NN=C(S1)NC(=O)C2=CC=C(C=C2)OC,0,2
C(CS)N.Cl,0,2
COC(CNC1=NC=C(C=N1)C2=CC=CC=C2)OC,0,2
C1CSC2=NC(C(=O)N21)(C(F)(F)F)NC3=CC=CC=N3,0,2
CCCCCCCCCCCSCC(=O)O,0,2
CCOC(=O)C1=C(SC(=C1C)C(=O)C)NC(=O)C(C)C,0,10
CCCCC[C@@H]1[C@@H](O1)C/C=C\\C/C=C\\C/C=C\\CCCC(=O)NCCO,0,2
CCOC1=CC=C(C=C1)NS(=O)(=O)C2=CC3=C(C=C2)N(C(=O)N3C)C,0,10
COC1=C(C=C(C=C1Cl)C(=O)NC2=CC=CC(=C2)C(=O)O)Cl,1,2
CCOC(=O)C1=C(SC(=C1C)C(=O)OCC)NC(=O)C(C)SC2=NN=C(N2C3=CC=CC(=C3C)C)CNC(=O)C4=CC=CS4,0,2
CC1=CC=C(C=C1)C2=NC(=C(O2)NCCCOC)C#N,0,2
COC1=CC(=CC(=C1OC)OC)C(=O)OCCCN2CCCN(CC2)CCCOC(=O)C3=CC(=C(C(=C3)OC)OC)OC.Cl.Cl,0,2
CCCCN1C(=NN=C1SC(C)C(=O)NC2=C(C(=C(S2)C(=O)OCC)C)C(=O)OCC)CNC(=O)C3=CC=CC=C3OC,0,2
CC(=O)NCCN1C(=O)C2=CC=CC=C2N=C1SCC(=O)NCCCOC,0,2
CCOP(=O)(NCCC1=CC(=C(C=C1)OC)OC)OCC,0,2
CC1=CC=C(C=C1)NC(=O)CN2C=NC3=C(C2=O)C(=C(S3)C(=O)NC4=CC=CC=C4)C,1,2
CC1=[N+](C2=CC=CC=C2C(=C1)N)CCCCCCCCCC[N+]3=C(C=C(C4=CC=CC=C43)N)C.[Cl-].[Cl-],0,2
CCOC(=O)C1=C(N=C(S1)NC(=O)CCSCCC(=O)NC2=NC(=C(S2)C(=O)OCC)C)C,0,2
C1C2(CN3CN1CN(C2)C3)[N+](=O)[O-],0,2
CC1=CN2C(=O)C(=CN=C2S1)C(=O)NOCC3=CC(=CC=C3)C(F)(F)F,0,10
COC1=CC=C(C=C1)N2CCN(CC2)CC(COCC3=CC(=C(C=C3)OC)OC)O.Cl.Cl,0,2
C1CCN(CC1)C2=CC(=C(C=C2)[N+](=O)[O-])NCCCO,0,2
CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(=O)N)C(=O)N)S(=O)(=O)N3CCCCC3,1,2
C1=CC(=NC(=C1)C(=O)NN)C(=O)NN,0,2
CN1C=C(C=C1C(=O)C(F)(F)F)CSCC(=O)NCC2=CC=CC=C2,0,2
COCCCNC(=S)NNC(=O)C1=CC2=C(C=C1)OCO2,0,2
CCSC1=C(C(=O)N2C=CSC2=N1)C(=O)NCCOC,0,2
CCCCCCC/C=C\\CCCCCCCCC(=O)O,0,2
CN(CC1=NC=NC=C1)C(=O)C2=NOC(=C2)COC3=C(C=C(C=C3)OC)Cl,0,10
C=CCNC(=O)NC(=O)COC(=O)CNC(=O)CNC(=O)C1=C(C=C(C=C1)Cl)Cl,0,2
CC(C)C1=CC=CC=C1OCC(CNCCNC(=O)C)O.C(=O)(C(=O)O)O,0,2
C1=CC=C(C=C1)CCN2C(=O)C3=C4C(=C(C=C3)[N+](=O)[O-])C=CC=C4C2=O,1,2
CCCCCCCCCCCCCCCC(=O)NC(CO)CO,0,2
CCC1=NC2=C(C=C(C=C2)C3=CC4=C(C=C3)N=C(OC4=O)CC)C(=O)O1,1,2
CC1=C(C=C(C=C1)OCC(CN2CCN(CC2)CCO)O)C.Cl.Cl,0,2
C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,1,2
C1=CSC(=C1)C(=O)NCC(=O)NCC(=O)O,0,2
C1CCN(CC1)C2=C(C=C(C=C2)C(=O)NC3=NC=C(C=C3)Br)[N+](=O)[O-],0,10
CCOP(=S)(C)SCC(=O)NC(CC1=CC=CC=C1)C(=O)O,0,2
CC(C)CC(C(=O)NCCOC)OC(=O)C1=CC=CO1,0,2
CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,2
CCCOC1=CC=C(C=C1)C(=O)CCNC(C)C(=O)O,0,2
CC1=C(OC2=C1C=C(C=C2)S(=O)(=O)N(C)C3CCCCC3)C(=O)NCC4=CC=CO4,0,10
COC1=CC(=CC(=C1OC)OC)C(=O)OCCN2CCOCC2,0,2
COC1=CC=C(C=C1)OCC(=O)N/N=C(/CCC(=O)O)\\C(=O)O,0,2
C(NC(=O)NC1C(=O)NC(=O)N1CO)NC(=O)NC2C(=O)NC(=O)N2CO,0,2
CC1=C(N=CC=C1)NC(=O)CCC(=O)OCC(=O)NCC2=CC=CO2,0,2
C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O,0,2
CCOC1=C(C=CC(=C1)/C=N/NC2=NN=C(N2N)C)OC(=O)C.Cl.Cl,0,2
COC1=CC(=C(C=C1CN2CCC(CC2)N3CCCCC3)OC)OC.C(=O)(C(=O)O)O,1,2
COCCNC(=O)/C(=C/C=C/C1=CC=CC=C1)/C#N,0,10
CCC(C(=O)NC1=CC(=C(C=C1)OC)Cl)SC2=NC3=CC(=C(C=C3C(=O)N2CC4=CC=CO4)OC)OC,0,2
CC(C)(C)C1=CC(=NN1)C(=O)N/N=C\\C2=C(C(=CC=C2)OC)O,1,2
COCCNCC(CN1C2=C(C=C(C=C2)Cl)C3=C1C=CC(=C3)Cl)O,0,2
COCCNC(=S)NNC(=O)C1=CC=CS1,0,2
CC1=C(C(=O)C(=C(C1=O)OC)OC)CCCCCCCCCCO,0,2
CCN(CC)C1=C(N=CN1C)[N+](=O)[O-],0,2
CC1=NN=C(C=C1)OC2=CC=CC(=C2)NC(=O)C3=CC=CC4=CC=CC=C43,1,2
CCCCC/C=C\\C/C=C\\C/C=C\\C/C=C\\CCCC(=O)NCCCl,0,2
COC1=CC=C(C=C1)CNC2=NC=CN3C2=NC=C3C4=CC(=CC=C4)C(=O)NCCO,0,2
CCOC(=O)C1C(NC(=O)NC1(C(F)(F)F)O)C2=CC=C(C=C2)OC(F)F,0,2
CC[C@H]1C(=O)N2CCN(C[C@@H]2C(=O)N1)C(=O)C3=CC(=CC=C3)Cl,0,10
CC1(CC2(C(C1(C(=N)O2)C#N)(C#N)C#N)C)C,0,2
CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)SC(C)(C)SC2=CC(=C(C(=C2)C(C)(C)C)O)C(C)(C)C,1,2
CCCC1=NN=C(N1CC)SCC(=O)O,0,2
CC1CCC(CC1)C(=O)NC(CCSC)C(=O)NC2=CC(=CC=C2)OC,1,2
C1=CC=C(C=C1)N2C(=O)C3=C(C2=O)C=C(C=C3)NC(=O)COC4=CC=C(C=C4)Cl,1,2
CC1=CC(=NC(=N1)NCCCN2CCCC2=O)NCCCN3CCCC3=O,0,2
C=CCOC(=O)CCN1C(=O)C2=CC=CC=C2C1=O,1,2
CCCC1=NC(=C(N1)C(=O)O)C(=O)O,0,2
COC1=C(C=C(C=C1)CCNC(=O)CSC2=NC3=CC=CC=C3C(=O)N2CCC(=O)NCCC4=CC=CC=C4)OC,0,2
CC(=O)NCCNC(=O)C1=C(N=C(C=C1)C2=CC=C(C=C2)OC)NCCOC,0,2
COC1=C(C=CC(=C1)N)C2=CC=C(O2)CO,0,2
CCOC(=O)C(C1=CC=C(O1)C2CC2C3CC3)(C(F)(F)F)O,0,2
C1[C@H]([C@@H](C([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)N)O[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)O)N.OS(=O)(=O)O,0,2
CN1C2=C(C(=O)NC1=O)N(C(=N2)NCCCN3CCOCC3)CCO,1,2
CN1C2=CC=CC=C2N=C1NC3=NC4=C(N3)C(=NC=N4)NCCOC5=CC=CC=C5,1,2
CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C(C)C)NC(=O)[C@H]4CN([C@@H]5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O.CS(=O)(=O)O,0,2
COCCCNCCCCOC1=CC(=C(C=C1)Cl)Cl.C(=O)(C(=O)O)O,0,2
CCN1C(=NN=C1SCC(=O)N(CC)CC)C2=CC=CS2,0,2
CN1C(=C(C(=O)N(C1=O)C)C(=O)COC(=O)C2=C(C(=CC(=C2)Cl)Cl)N)N,0,2
CC1=CC=C(C=C1)S(=O)(=O)NC(CC(=O)NCCC2=CC(=C(C=C2)OC)OC)C3=CC=CO3,0,2
COC1=C(C=C(C=C1)CCNC(=O)CCCN2C(=O)C3=CC=CC=C3N=C2SCC(=O)NCC4=CC=CC=C4)OC,0,2
CCNCC(COC1=C(C=C(C=C1)C)OC)O,0,2
COC1=CC(=CC(=C1OC)OC)NC2=NC(=NC(=C2)C3=CC=C(C=C3)C(=O)N)N,0,10
COC1=CC(=C(C=C1)C(=O)CSC2=NC3=C(C4=C(S3)CCCC4)C(=O)N2C5=NC=C(C=C5)Cl)F,1,2
CCN1/C(=C/C2=CC=CC=[N+]2C)/C=CC3=C1C=CC(=C3)C.[I-],0,2
CC1=CC(=CC=C1)NC(=O)C(C)(C(F)(F)F)C(F)(F)F,0,2
C1=C(C(=O)NC(=O)N1)F,0,2
CCOC1=CC=CC(=C1)/C=C/2\\C(=O)N(C(=S)S2)CCC(=O)O,1,2
C1C(=C(N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)O)Cl.O,0,2
CCCCNC(=O)CSC1=NC2=CC3=C(C=C2C(=O)N1CCCN(CC)CC)OCO3,0,2
CCCCOC(=O)CSC1=C(C(CC(=O)N1)C2=CC=CC=C2)C#N,0,2
CCOP(=S)(CC(=O)NNC1=CC=CC(=C1)C(F)(F)F)OCC,0,2
CCOC(=O)C1=C(OC(=C(C1C2=CC=CC=C2Cl)C#N)N)CSC3=C(C=C4CCCCCCC4=N3)C#N.CN(C)C=O,0,2
C1CC2=C(C1)SC3=C2C(=O)NC(=N3)SCC(=O)N(CCO)CCO,0,2
COC(C(Cl)(Cl)Cl)NC(=O)NC(C(Cl)(Cl)Cl)OC,0,2
COC1=CC(=CC(=C1)C(=O)N2CCN(CC2)C3CCCCC3)OC.C(=O)(C(=O)O)O,1,2
COC1=C(C=C(C=C1)N2C(=O)C3=CC=CC=C3C(=N2)C(=O)NCC(=O)NCCCN4CCN(CC4)C5=CC(=CC=C5)Cl)OC,1,2
C1=CC(=C(C=C1[N+](=O)[O-])C(=O)OCC(=O)NC2=C(C(=C(C=C2)F)F)F)NCCO,0,2
CCOC(=O)COC1=NC(=CC(=C1C#N)COC)C,0,2
COC1=C(C=C(C=C1)CCNC(=O)CSC2=NN=CC(=O)N2N)OC,0,2
CCN(CC)C1=NC=C(S1)C(=S)N=P(N(C)C)(N(C)C)N(C)C,0,2
CCCCN1C(=NN=C1SCC(=O)NC2=C(C3=C(S2)CCC3)C(=O)OCC)CNC(=O)C4=CC=CC=C4F,0,2
COC1=CC=CC=C1OCCCCCNCCO,0,2
C1CCC(C1)NC(=O)CCCC2=NS(=O)(=O)C3=CC=CC=C3N2,1,10
